;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S30;Reposo_EEG;0.004899939072265402;0.007512492094660036;0.017489002575561047;0.014981290362039268;0.02202284544645631;0.0324516752995213;0.0655601956959531;0.0600248755307526;0.06808148242991494;0.15412792287719396;0.30666010912809827;0.24397726124201494
S31;Reposo_EEG;0.004907054600999872;0.008437595726955668;0.017027336984706654;0.021448255179941086;0.019564106102214648;0.02450471221962956;0.08077040299178145;0.0675679122288894;0.16007030274113368;0.13335077141964988;0.2768210981194886;0.17816010088242673
S32;Reposo_EEG;0.00196602995490695;0.004579393265407978;0.018519325421050895;0.005213848304489235;0.00743428168191856;0.01744023522385409;0.11123938758212851;0.02019489836624148;0.037636865623293096;0.09795713765265099;0.5871185738903515;0.0890476559420378
S33;Reposo_EEG;0.0020799681515627022;0.003774471350212154;0.015535281490106167;0.00938940975325593;0.006641068935101872;0.016109767063773265;0.09491864268108122;0.047904401654320174;0.02860607996437736;0.06930152560846498;0.47840184871572466;0.2231082794403169
S34;Reposo_EEG;0.0019421370495787504;0.0031365292920278224;0.031710936169848165;0.0038092508037277104;0.0044580485273532314;0.008966883582539149;0.15076784202445476;0.013430535310692524;0.021553316105087247;0.0441430771406455;0.6629612656885333;0.05235972444329347
S36;Reposo_EEG;0.0009786057861235907;0.003293983282415372;0.013356294055606075;0.0016319767249960684;0.004292124299407106;0.01837478269841621;0.10866199784608853;0.007273760035039915;0.025289650800016956;0.11460850491288144;0.6685081428124092;0.03349074665738631
S37;Reposo_EEG;0.0021083257191941884;0.006719207693095955;0.027594296175039973;0.005944155169555081;0.007220741038630019;0.02252217996805191;0.13813478376271748;0.021707925840392415;0.028076884760848773;0.07313046973295681;0.5879152540449124;0.07836930348344669
S2;Reposo_EEG_OI;0.02755794347964935;0.03849110714191838;0.023191513076560786;0.024228828712779475;0.025887831583056325;0.057453290624259704;0.04276659486380145;0.06160099021884127;0.1049512875459078;0.17656093339894757;0.16213749523036788;0.2454231324310222
S3;Reposo_EEG_OI;0.041136027003055076;0.03315456067544175;0.019905887834446637;0.0309118406645891;0.04065098933840295;0.04433870179541525;0.03987654022439702;0.08229144454756684;0.10374149390583288;0.11754320389514306;0.1490884184785608;0.29371984491317454
S5;Reposo_EEG_OI;0.004858359742907937;0.01006573148696156;0.0470842901670023;0.024868852425777913;0.010366145223694652;0.021235926058089466;0.13726960857614737;0.06336607410143306;0.04447789075045244;0.06465801424178139;0.37574694804457454;0.19346061929797692
S6;Reposo_EEG_OI;0.010189027876802183;0.012561546778015681;0.04012764533975655;0.013403936663205145;0.020551097395078325;0.03026725981577323;0.10790230419300313;0.052483116965722484;0.06799308682554946;0.0978901007003531;0.3241500469402907;0.21639496815366321
S7;Reposo_EEG_OI;0.012502460065762158;0.03117452323593022;0.01587523445219119;0.013263998171808107;0.022730250928580924;0.05635169162744742;0.04670307504715816;0.06217275184084533;0.11741588046468894;0.1809311234082194;0.16409182773157496;0.2717714167471094
S10;Reposo_EEG_OI;0.01818643516936338;0.022459984060999093;0.028485304726393327;0.010988710075091042;0.025353648277038246;0.039253847082584614;0.07995047997478795;0.04525150816233159;0.11890467550081668;0.14486282998798888;0.25885505563903494;0.20099459064103864
S11;Reposo_EEG_OI;0.015210459722743631;0.021238412983029087;0.031947287056893404;0.01469534008182739;0.025282396379013302;0.03275036019692898;0.09901931501420079;0.04183178474555232;0.08243511695146635;0.09517118304312853;0.40057968533898347;0.1349882728769584
S13;Reposo_EEG_OI;0.022432258613627343;0.02658112159446305;0.015938511576700152;0.027556135074609408;0.03565140491742418;0.05388439239659262;0.03649473437312549;0.06940735140360434;0.12695164721542312;0.21210187580434406;0.13036503577712277;0.23641365024212996
S14;Reposo_EEG_OI;0.025525217113791365;0.017898700456988426;0.03501995208618366;0.017326925701458315;0.031757842266409826;0.027447532603737248;0.08247803615733452;0.05568725527194188;0.09680194488009011;0.08516533925399254;0.2824942790614985;0.23539313520180838
S15;Reposo_EEG_OI;0.003962386837563101;0.012419459006513742;0.05260744100425715;0.012426200666274435;0.009607254200662918;0.021674215893880626;0.14805599532079133;0.035764359820117414;0.05400413206475608;0.07848075076605915;0.450243474458594;0.11848384685794965
S16;Reposo_EEG_OI;0.022358928953493677;0.025214960528999297;0.014440207624440838;0.018059836643648654;0.030547057438173462;0.053606637156043836;0.04327099643892862;0.07487493565312334;0.09164792910503806;0.1682134839031842;0.1575518452236637;0.2913456860340868
S18;Reposo_EEG_OI;0.022690306515563356;0.032366650036022494;0.019553079139972784;0.02397480156418456;0.019961408705163605;0.05186387897166784;0.049006007201089156;0.060128267992869064;0.08203749879369143;0.1720433789701742;0.23732702591934063;0.22447726640437363
S19;Reposo_EEG_OI;0.016087972916837452;0.021586677960632076;0.022134654086677044;0.015770589923089214;0.03178851430994543;0.04669038436045156;0.05386679106925797;0.04175681436848795;0.13378898951726695;0.22186389775463944;0.2219808216319315;0.16907609463280598
S20;Reposo_EEG_OI;0.02844145181520868;0.030462403639934243;0.015084887668890955;0.018829674170231826;0.041797574935821265;0.05008028033171621;0.04844042066834553;0.05841669456939332;0.15702359977937816;0.13856016500954935;0.19251321746166342;0.21729112355949742
S21;Reposo_EEG_OI;0.03002731902024599;0.025131533429604176;0.01406043702488208;0.014020829957139068;0.03468310735793547;0.0404728331799114;0.04088872999043327;0.059704893747194135;0.15124158545856714;0.14306419775823664;0.1347940104768265;0.3026097935434435
S22;Reposo_EEG_OI;0.03992834162221037;0.027935301615308585;0.020896014514330215;0.06352224129027051;0.03775171451447817;0.03547871492065161;0.05478236421736684;0.10609555247000355;0.10489385291977198;0.08708500967933765;0.1604370986981427;0.24171796247402774
S23;Reposo_EEG_OI;0.028734941472620113;0.029225682174364283;0.02393544641878475;0.02222318278167836;0.02717922623873627;0.052599408491930455;0.06300801939446772;0.08286951906657833;0.046848686562814205;0.14791641766111532;0.21128377751924604;0.2561027722656231
