;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S3;dots_motion_left;0.0430086107562863;0.02809024129725589;0.012910780181813464;0.01930544072355198;0.06411669382527382;0.054136014605191865;0.030189925349450454;0.055507918178622176;0.17912872406325556;0.18692059577400083;0.10970153821578019;0.213243033979672
S6;dots_motion_left;0.00713965312710059;0.012867286998355366;0.008577123927369396;0.023887762509815107;0.01989387139620592;0.0328453151260662;0.03862507417668601;0.11394582019228851;0.054577494804288515;0.10319499490424443;0.14869891511622368;0.41472999565284513
S7;dots_motion_left;0.025985724423223562;0.034112061553520895;0.01154156291460366;0.01412749818205252;0.03853226949620949;0.06366686133093158;0.03713800745546239;0.05793499126732985;0.12803550944095793;0.2179839741072165;0.14370825682871405;0.2248116773684664
S10;dots_motion_left;0.03378879262983673;0.03486070929745077;0.01401224924234208;0.013664943209087418;0.04330842891494374;0.04925597681563212;0.04024847830361285;0.05282259668775525;0.13765888004778817;0.1659499259581981;0.17112215328937186;0.2352557149352029
S11;dots_motion_left;0.022169586220469363;0.03201341534271899;0.01198601852408323;0.020626864591299292;0.04206995810496505;0.05932408739737138;0.03300848003455019;0.06817078802365542;0.170713705301091;0.18931369645021043;0.11778008511561663;0.22485225331779304
S14;dots_motion_left;0.011624393845150502;0.014503743999044888;0.015005324687082076;0.021075929701663335;0.021726088951391758;0.02702724202797777;0.06213991058516816;0.0963754145444686;0.07546206754455091;0.09306239666852671;0.2127702023874681;0.33561648525730187
S15;dots_motion_left;0.012700330558201037;0.02201608449085305;0.018922717079125843;0.017572534879713227;0.021296534286295042;0.04102529034713576;0.055194067236815074;0.049830214316535865;0.07960993414981368;0.16515471306265567;0.2885902830347412;0.22222567169423463
S16;dots_motion_left;0.04507124116422187;0.036723139755942935;0.012045397587625614;0.019712976861878402;0.05285251683112287;0.05915399166533647;0.03524798598423574;0.08022303070611142;0.11175899002525325;0.15895332032763687;0.11581127905595735;0.2665594064433826
S18;dots_motion_left;0.0192165006352858;0.02702469912402244;0.02174240520154535;0.025128364378305602;0.020297830849676426;0.04958328674664942;0.05294104223964968;0.062429993308534895;0.07925346697907537;0.17513923310335527;0.220844137494751;0.24227035546322412
S21;dots_motion_left;0.03648871205834974;0.03484976404991295;0.010937304123052207;0.0120858765930301;0.06254085952706988;0.06004933114907006;0.030351740293449836;0.04391864827966333;0.17671935763648206;0.20285878339650626;0.12086188831188074;0.20188427988008387
S22;dots_motion_left;0.03396789462640945;0.028076027226696314;0.012030528669281707;0.0704496471484516;0.04087166444222074;0.04465255279085593;0.0347462281151393;0.10634662389535823;0.11225968820297628;0.1360793634895458;0.12704814917017085;0.23665193264141152
S23;dots_motion_left;0.018698544236655436;0.01881889135077863;0.015540702401786252;0.021456700746099306;0.03224421876800448;0.04793681163141175;0.04508792559399019;0.08295802161962085;0.0975535130262423;0.16307486163098375;0.16454907165902585;0.27793393336393574
S24;dots_motion_left;0.022481177866592653;0.03152934866652155;0.010550139180429272;0.012280354721276247;0.05296172768532317;0.07140926293019227;0.025884155795446416;0.032919896387893575;0.19416987732575997;0.29852137582435684;0.10358900281812589;0.13983715072263972
S27;dots_motion_left;0.009353378070687075;0.014717433476800395;0.008159544060807938;0.012746359743301091;0.024812336516593814;0.06152374664340362;0.03709228714585309;0.03462542499457698;0.1135815705039469;0.3236445794263474;0.20349625295279297;0.15240429118214419
S28;dots_motion_left;0.025948171429928227;0.020717951045618105;0.009421007632183061;0.009573593054290817;0.05689973401416902;0.054033209863214485;0.028365909179547934;0.03525374067192277;0.22709305688563688;0.23972046997333918;0.11436030557333231;0.17505455891910043
S29;dots_motion_left;0.01217749290022133;0.011631782812651618;0.008114387876242246;0.014966968092425295;0.05808443581026898;0.04461088780511165;0.028040709688376752;0.04192973119053435;0.29002975148898746;0.21136281696811327;0.12417717171950221;0.1478961101992209
S30;dots_motion_left;0.00968823681376123;0.011811215904357197;0.008363704711457786;0.017608362389732648;0.03173611033038188;0.039419990290908646;0.03180636965420175;0.07351979454575339;0.12775686069458217;0.1507776642575463;0.15488869752111847;0.3369369604559606
S31;dots_motion_left;0.008313034342788114;0.008795218220983456;0.007653485028986016;0.013805824508670822;0.05824091305322732;0.059239116997954075;0.040124460820658556;0.057813011358382384;0.1778512396977512;0.19587634190476505;0.1352845545101581;0.22974693867848156
S32;dots_motion_left;0.012169607650914719;0.012951508716208421;0.011429795528758625;0.012156598628718486;0.03653686775639816;0.0398736074933678;0.0459237546444653;0.04311142346723917;0.18155071214923993;0.19687239663632403;0.22616513729729024;0.1782209459880658
S33;dots_motion_left;0.009698039164268661;0.015656611968048705;0.01183305318189782;0.017016308957959525;0.015431371268582267;0.0260896224129506;0.020251950938616675;0.04081100634667567;0.1304568316608122;0.23089073203464255;0.1951940043858174;0.2784388683974445
S34;dots_motion_left;0.006274823139994213;0.009441832651166665;0.01670439663835069;0.010857216237680059;0.018068215737587386;0.027904693329944878;0.06883319171051579;0.03453603192790009;0.10345967643658356;0.15490298967126495;0.41369912355539973;0.13300028571119357
S36;dots_motion_left;0.0031690214894295743;0.005148617184851679;0.009873585840292819;0.004296328994759069;0.015096322638406783;0.04199091014603645;0.066606560427063;0.01592528145191324;0.09459785440730117;0.2793471581966092;0.3910725077737157;0.07199337172486645
S2;square_motion_left;0.022694976874161606;0.03639506127342289;0.019097416994410612;0.018540825900368593;0.039123040520269804;0.05464852771694058;0.042870998945644646;0.05124241461035661;0.12441600629400243;0.17661921317495202;0.20672908448616378;0.20409349116400216
S3;square_motion_left;0.03990188636286959;0.038498900042242906;0.011211947997337202;0.018757987991054905;0.05155342344382441;0.05445802914493595;0.03172215236129408;0.057836947783745436;0.19409590407235638;0.16003972933560154;0.1211185259265466;0.21777174069339678
S5;square_motion_left;0.0093285724906221;0.011548852867760057;0.03768845650211795;0.022418943781459637;0.02214462074357989;0.032674677572730015;0.08444492697301811;0.06462776870206335;0.0994596871123762;0.10796476178313236;0.2805554937911329;0.2228991933122017
S6;square_motion_left;0.010376563728027925;0.01404134310076114;0.009634669435535065;0.016757910261997265;0.02223589897137482;0.0378313747161345;0.039071687821370965;0.08309994825916396;0.08053144287243437;0.129885116576263;0.16786726805929977;0.3735678346972526
S7;square_motion_left;0.02626252178953699;0.03405754964767883;0.01627766668342554;0.018339184429866165;0.03304808488575622;0.055541059880632265;0.047964018226909794;0.06158133986563668;0.13180243883941123;0.1709591354364695;0.16011582735367624;0.2406741777219727
S10;square_motion_left;0.01849792502101235;0.01848465162245119;0.013620828827225687;0.01185341866829099;0.03451148053539939;0.04245944280978142;0.040627589305792924;0.04577727090966788;0.1896961297393579;0.2052300611017682;0.17119318932088368;0.20394419908088116
S11;square_motion_left;0.018577011346560483;0.03132736892244958;0.024170069116250262;0.02197003246749603;0.03781557247871362;0.06514198047573991;0.047484435981102045;0.06620987060380415;0.14517715779956905;0.19654595152128584;0.1423556581539059;0.19673105617995473
S13;square_motion_left;0.024955196700696018;0.025234160143907836;0.028356274173556684;0.0383359486667811;0.032457126369339596;0.04368905952027557;0.07831106904316743;0.07581858025453107;0.0973843695266478;0.1470042047872266;0.19308463788778782;0.2079605521694968
S14;square_motion_left;0.029001016190439856;0.02625208116977535;0.018832979008723064;0.022784830093489486;0.03402162106186929;0.03878232420520487;0.05107293474900648;0.09023148965968911;0.09005686594199862;0.10527186285062459;0.15178658759570765;0.32885361933725754
S15;square_motion_left;0.008129892102980672;0.025861709480580603;0.037395707049938956;0.014058074470962181;0.014904232054086685;0.04177190105335768;0.08440452830458518;0.03586465738767504;0.07973597770019396;0.14301342288767013;0.378516582941331;0.1344949467689211
S16;square_motion_left;0.015167955696220262;0.026699555002463873;0.013289410207797565;0.016379841360832318;0.020201878541779426;0.05502832199340604;0.031063904957206703;0.07184540556320886;0.1411043170351122;0.19268011352777772;0.10448461839644144;0.3058520299288327
S18;square_motion_left;0.03219001902484788;0.03569431602285383;0.02631913299974055;0.027319407730082356;0.025329737635043897;0.04632353723024716;0.06290385728819538;0.06047465065722509;0.08907964946822852;0.13928812221344877;0.23033772626081694;0.219145149547209
S20;square_motion_left;0.03856370310630178;0.027870553039752024;0.012139750703873763;0.01785545058576724;0.05375218419557822;0.04511892531287045;0.0369781418123745;0.06760133738812753;0.1321788609604565;0.13231796902156118;0.14680319664789115;0.28006881043959303
S21;square_motion_left;0.022221900046014785;0.02596599889709741;0.011905729384317226;0.010159832496851309;0.03684285485849411;0.04479423422064938;0.03700119879124919;0.043508986088991945;0.18158226350813014;0.18847694143141788;0.15756193087987042;0.23523399805723566
S22;square_motion_left;0.030731538544346248;0.029859687045831966;0.01639870450517367;0.0704878862479335;0.02916938220754606;0.049651851720345294;0.04229029286829732;0.10800241343390053;0.07696646905398843;0.14054796897012017;0.13012987644813465;0.2420907467289163
S23;square_motion_left;0.014726974562968688;0.018627722304597215;0.020074391213369264;0.023260882437194597;0.026747544506918203;0.05081319841263646;0.04922551773889673;0.08033140611596729;0.1069067916678627;0.19005442443772366;0.15803607926202717;0.24955708646025518
S24;square_motion_left;0.015585649411458114;0.03410919921937698;0.01512148595278652;0.011484278670360634;0.04418345084322543;0.07604196573480271;0.032629532618913444;0.031507073628898416;0.23842284548066284;0.2732197282300815;0.1121374148322849;0.11328077266558095
S25;square_motion_left;0.008627795054303096;0.007956438333289679;0.00627534048576488;0.02154689314397709;0.020762399184565218;0.033221855122281214;0.025998301914514525;0.07453003325626273;0.15336184422562174;0.2061093653376219;0.11911743091374599;0.31104213658555824
S26;square_motion_left;0.009481522759632717;0.01822799606480694;0.014299460495095432;0.027990582757463574;0.021873596042525346;0.057330105277281246;0.04637377200331418;0.0787820309277481;0.09202166621067974;0.23150089102365243;0.15749481761389594;0.23603732600183044
S27;square_motion_left;0.010598716573659748;0.016686548052018284;0.0073578350246145076;0.01218791820261366;0.03290648151088641;0.06356264928617546;0.032699052716631274;0.031890673505781696;0.15026902212405235;0.30720111981400455;0.1871191954533845;0.13741090768651074
S28;square_motion_left;0.013670515726399508;0.012984930162428458;0.011785189161734022;0.0065448053398400085;0.027422399878440668;0.04293911708752571;0.06063627896138221;0.024080665375063363;0.1393624940677862;0.21204514224229482;0.31839748817622715;0.1270806655549575
S29;square_motion_left;0.014785226504050421;0.013719401669134816;0.012092734073606077;0.018257853490607056;0.03613375165079841;0.05140007171290342;0.037635378434838454;0.05213852274660522;0.16322681127383087;0.24587352966216697;0.14757680309797175;0.2009503291004144
S30;square_motion_left;0.0065846539471512795;0.008563457845973534;0.009485281480464455;0.021039356126655626;0.016229987381730704;0.029532889737141615;0.05397757517965916;0.08377336382194296;0.05659739145024279;0.12197186862779627;0.2940857561784399;0.2926141349523045
S31;square_motion_left;0.00863335689090428;0.007002002791086391;0.007688733537644647;0.012972438347570272;0.02930569669115234;0.03088750329962369;0.03199523479697921;0.053506598261745336;0.199495667418416;0.19834751797782552;0.1486575619149955;0.26101528897781945
S32;square_motion_left;0.006757877975620379;0.00962087247668897;0.012590257976475675;0.014994196299934945;0.02323416590434915;0.03335024671783399;0.05781245765929745;0.04859737605633747;0.09531173012790681;0.17333628781742347;0.2701208450932891;0.1914613380900579
S33;square_motion_left;0.006322741608344507;0.00824740412888596;0.006630281089451265;0.017883153307736;0.018298254365456002;0.029913748621742817;0.028036647020672413;0.07772173451215814;0.12754955208337507;0.1511829856298046;0.13497907013191343;0.38200526523022904
S34;square_motion_left;0.006974753755973339;0.006974105956606598;0.0263752698541625;0.007108168239824888;0.013383836415637193;0.026864762729625513;0.08748788461032747;0.025083351996606825;0.06649257990861752;0.15231078551064728;0.4688097260195811;0.11075730244093134
S36;square_motion_left;0.0039558845790527595;0.0063890813166536916;0.011639963260666053;0.006058204346834854;0.017079578081980778;0.030942555417865423;0.07643770446524686;0.023904178248371863;0.10869131925019837;0.17264566567298117;0.43660968643419007;0.10408621707271491
S37;square_motion_left;0.01829648549073585;0.017237389969236846;0.013478914982586153;0.017670413622194056;0.03699818284467406;0.05204869059110504;0.0534694538150595;0.06166788672418494;0.11775489289506527;0.19849794042224012;0.19521482459929482;0.21583273836296088
S2;form_left;0.04147559871165716;0.032917337146872123;0.015063611629674213;0.02178110305478982;0.05361110505665105;0.05518364219521049;0.03286383772488123;0.06624213126204816;0.12573744677980722;0.17540259435894265;0.118327877146774;0.25395390839279447
S3;form_left;0.04544831608701324;0.03197432007229387;0.010104571409348288;0.024378432795150295;0.06414867576311607;0.05107530829512975;0.027489716538559725;0.06764311572395328;0.14393997187721772;0.1355985776645844;0.10128329249950109;0.2900125629985785
S5;form_left;0.047750449701922826;0.04559281220333024;0.038636971521212274;0.022579123381677578;0.04953831995052666;0.05266683924783227;0.0743575844151967;0.051469116218951304;0.09420139005901497;0.12463434630199914;0.22339453911468574;0.17267427281049177
S7;form_left;0.06022058401638914;0.04456035434752409;0.012508541995688759;0.015465788964215266;0.06912654307283125;0.071092320759486;0.033997771907253484;0.05105807516007944;0.1293492607362887;0.18726103922023582;0.1256442529037302;0.19604635585222363
S10;form_left;0.054296157245982676;0.0410251995993955;0.01896979781952541;0.014591224680102073;0.05237350318302437;0.047639596891139835;0.04091897305531629;0.050246684090810664;0.1672335771576141;0.1342737588720569;0.14777057689609538;0.22414279694462386
S14;form_left;0.013179792959709401;0.009289130516336532;0.023351007503724538;0.017886844341882063;0.018637382283518227;0.02071665155097778;0.10646178768832536;0.08749340614969625;0.048726472775803;0.056420962172413255;0.30887081386577453;0.2757417814180274
S15;form_left;0.0751341045746991;0.0374408622123092;0.022255313295689288;0.017376682301941938;0.039562533684068035;0.034917128249390854;0.05765832303425232;0.044905013315956956;0.08924983143579432;0.10314906403972879;0.2935442641197426;0.17833808928695652
S16;form_left;0.06449985393330808;0.03264921437025323;0.013189044149090926;0.014690876003712057;0.0856951706671642;0.06224298485287701;0.02866023597943622;0.048744780255355065;0.14608050302735748;0.18823800866694618;0.09790192015220037;0.21119719800074213
S18;form_left;0.015616630080724338;0.018687972674725994;0.016880561073581424;0.024529283003188372;0.018571168119684796;0.043513513965539236;0.049243316301476554;0.07829520998632347;0.08318328783404136;0.1818932933465317;0.1914873259799315;0.2662261553397701
S19;form_left;0.02446347675115645;0.02528940500766894;0.02920774379669762;0.018092294127554094;0.03708766732249524;0.047955389707367624;0.07145700669958155;0.04131012191719601;0.13961762676070652;0.17668993741530375;0.24260088494116464;0.1436622967297723
