;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-4.3943;-5.22032;-0.777207;10.3803
S23;Resting;0.011276084;0.010652038;0.092593249;0.01426347;0.011137001;0.010340885;0.093732227;0.01355194;0.010530895;0.010764072;0.100329458;0.013033326;0.011780861;0.010867333;0.101482471;0.016960395;0.011231385;0.010145445;0.110249699;0.014372796;0.009780741;0.009702789;0.086980801;0.009769245;0.010058854;0.010434363;0.107569581;0.010931861;-5.60841;-9.37951;12.1813;-8.01001
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-7.07243;-11.0206;14.7679;-10.591
S2;Color left;0.037328622;0.036573117;0.022411265;0.036012283;0.037472247;0.036604827;0.022568303;0.036733787;0.037730945;0.036654715;0.023700095;0.044242853;0.036993296;0.035433995;0.021852328;0.02798523;0.035396318;0.034520639;0.020912534;0.026254546;0.033572222;0.033881072;0.02096777;0.029744886;0.029258403;0.030849436;0.018597364;0.021926711;6.6685;7.04277;-5.2875;0.361997
S3;Color left;0.060598639;0.03176895;0.009844905;0.022446933;0.059768785;0.031743325;0.009925244;0.023727927;0.059283793;0.030725711;0.009837791;0.025313035;0.058403035;0.031506378;0.010420443;0.023089036;0.057524257;0.031492204;0.010941708;0.025275351;0.052227445;0.02853122;0.009402541;0.020445179;0.051524121;0.028516412;0.0094956;0.020471535;17.5548;4.17856;-7.95463;-3.65113
S6;Color left;0.01871936;0.023955095;0.039488224;0.046271565;0.017012787;0.024047394;0.042043282;0.0621974;0.019509181;0.02399679;0.04556671;0.081491402;0.016472257;0.02299227;0.04474107;0.054515158;0.01477883;0.020219595;0.050586846;0.040730546;0.015561568;0.018191239;0.038551382;0.027037649;0.013512785;0.016241524;0.03739133;0.020325559;-2.79317;-2.07723;-0.550792;7.08395
S7;Color left;0.053400299;0.039908015;0.01499659;0.020353081;0.053427056;0.040360491;0.015736387;0.02279659;0.052944682;0.041146524;0.016506398;0.025538342;0.052154495;0.039381101;0.015836903;0.020947212;0.047606951;0.040313735;0.018163995;0.022980514;0.042729259;0.034537076;0.013821445;0.017802112;0.043003185;0.034538105;0.014193532;0.017031612;13.6736;9.51269;-6.67975;-4.53538
S10;Color left;0.042357972;0.038669197;0.020778864;0.017353767;0.04055842;0.037419528;0.020968256;0.016844588;0.04017996;0.036442539;0.021985596;0.017101685;0.04379026;0.038542687;0.021134549;0.018475297;0.045048684;0.039088061;0.023707306;0.021625242;0.057510551;0.041972665;0.022373013;0.016567739;0.038936231;0.036590095;0.020892981;0.016823337;10.9981;9.39877;-5.31318;-5.95123
S11;Color left;0.036984838;0.041588952;0.018242054;0.024441298;0.037084518;0.0446795;0.018346712;0.025751601;0.035287238;0.044855311;0.017855265;0.025885208;0.036203713;0.042517824;0.022298905;0.035969466;0.035967477;0.041345075;0.022407836;0.035564571;0.032322613;0.041819502;0.016768352;0.021286208;0.032350539;0.037970339;0.019274561;0.024726719;6.59809;11.8641;-5.8312;-1.58528
S13;Color left;0.027161409;0.035478589;0.024498184;0.049304742;0.027985139;0.033148343;0.023450212;0.046909207;0.027457622;0.031955651;0.021124958;0.046829503;0.025605222;0.034228554;0.026303594;0.051089203;0.023290708;0.032820557;0.023802741;0.050075754;0.021166713;0.026964985;0.01849213;0.037672146;0.022092531;0.030028942;0.021950523;0.042794252;1.46618;5.18691;-4.97592;6.95485
