;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-2.77828;-3.15741;6.46984;-4.36345
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-2.11415;7.37683;-1.31437;1.71108
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-4.06249;4.22938;6.03358;-6.04304
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-4.23868;-5.49115;-0.703391;10.0617
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-6.96108;-11.3643;15.1966;-10.7941
S2;Color;0.029578522;0.039533759;0.028390795;0.030216218;0.029585206;0.039377945;0.028343222;0.03049644;0.029448596;0.039048277;0.028861196;0.033297501;0.030436763;0.039830365;0.027925375;0.027078919;0.028799687;0.039835776;0.02957978;0.027058991;0.027036378;0.036795303;0.02680996;0.026112049;0.024987769;0.03547177;0.026011649;0.022563762;3.58933;9.46967;-3.85302;-1.45187
S3;Color;0.050377211;0.028484111;0.011854209;0.030392043;0.049998209;0.028850064;0.012166139;0.032973715;0.048191944;0.028841089;0.012454791;0.039406358;0.047620213;0.02779646;0.011704937;0.030363963;0.046352885;0.028074025;0.01231803;0.033208797;0.042096778;0.02583386;0.010801403;0.0269266;0.041783415;0.025221476;0.011338447;0.026789865;12.8388;1.99935;-7.66033;-0.0497166
S6;Color;0.017951252;0.02929515;0.034027666;0.048704131;0.016567021;0.027896778;0.035987645;0.064896609;0.017491295;0.027873565;0.037348129;0.086864576;0.01577385;0.02771005;0.037197313;0.056265447;0.014655506;0.024376096;0.041623692;0.042692148;0.013835485;0.022105724;0.034040269;0.027933098;0.012996674;0.020331135;0.034276025;0.021307596;-3.02468;0.683824;-1.93353;8.34636
S7;Color;0.052700102;0.037899928;0.016188255;0.02143365;0.04844277;0.037297853;0.016471592;0.022448695;0.048985548;0.038482128;0.017352333;0.023756857;0.051880818;0.038889385;0.015969939;0.023029355;0.048993481;0.042094313;0.017091696;0.024370231;0.039714696;0.033488569;0.014400599;0.017134339;0.042253037;0.037474569;0.014210859;0.017314637;13.3278;9.04529;-6.6778;-4.54477
S10;Color;0.045553258;0.039557274;0.018631178;0.016249131;0.043343012;0.039257274;0.01878585;0.016205553;0.042887683;0.038347614;0.019766457;0.016266109;0.047789898;0.038572988;0.020041814;0.017647697;0.050535075;0.04092788;0.023384132;0.020064942;0.043038987;0.038586422;0.017950656;0.015244573;0.042807928;0.036270372;0.018887557;0.015675508;12.0354;9.62176;-5.84728;-6.63461
