;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S5;Dots right;0.018278327;0.021611343;0.05827321;0.029939631;0.021764722;0.023858082;0.069379606;0.036445212;0.02469566;0.020994832;0.072672586;0.036370783;0.019822277;0.021190283;0.051886811;0.02959907;0.026212471;0.02228261;0.051289679;0.03158668;0.013734888;0.016797803;0.054956786;0.022188805;0.019877384;0.020258827;0.041808082;0.02293565;3.45817;-0.353409;-1.01954;-2.95205
S6;Dots right;0.017146262;0.025071319;0.01900117;0.052103799;0.051089136;0.040102603;0.025426592;0.06332162;0.018600329;0.026032627;0.021940387;0.073253309;0.01744547;0.024926075;0.018126112;0.064141435;0.015870919;0.019394973;0.017158093;0.073051936;0.039622683;0.032073918;0.020745736;0.037157198;0.014112224;0.018643777;0.012018793;0.027628321;-5.22087;12.3478;0.951114;0.454271
S10;Dots right;0.042699387;0.042757309;0.02024408;0.022055428;0.039530071;0.036985128;0.01855114;0.020740755;0.038458852;0.037094717;0.018847532;0.020780522;0.042209495;0.038237668;0.019232696;0.02206031;0.044605148;0.040224401;0.021634615;0.025199832;0.039240324;0.03588123;0.018547231;0.01904935;0.041374839;0.037583772;0.018737919;0.018870121;-5.21195;-4.63454;9.56935;7.94668
S13;Dots right;0.034359879;0.035376129;0.016167644;0.04235372;0.032417577;0.034448538;0.015244925;0.043545586;0.033414881;0.032736002;0.015421932;0.044943515;0.032774947;0.036664747;0.016077695;0.042879461;0.030784922;0.03777462;0.016233646;0.044800159;0.031816189;0.030177058;0.013047491;0.036116533;0.029765992;0.034647525;0.015073802;0.039266273;-6.12919;5.95333;4.91593;5.54358
S14;Dots right;0.024056269;0.027841213;0.027654025;0.038343438;0.021953537;0.026313641;0.034284599;0.052613643;0.02471453;0.030896501;0.036559049;0.072827911;0.02441247;0.027973791;0.029018836;0.042002768;0.02350656;0.027724087;0.032931791;0.051561825;0.024452902;0.029190037;0.025004735;0.02995816;0.021844711;0.026288904;0.021747514;0.028384811;-2.88036;6.96254;0.480918;1.42058
S15;Dots right;0.019771937;0.036514511;0.032509686;0.025061637;0.018978284;0.038716017;0.035115451;0.028131294;0.02399834;0.040488352;0.035446153;0.029688674;0.020808387;0.037370146;0.034616029;0.024832102;0.021286975;0.03920402;0.041645611;0.026321294;0.016999175;0.032428492;0.040680592;0.023675631;0.018678821;0.032687877;0.04217661;0.023964162;-1.23223;-2.2425;-1.30887;6.86114
S16;Dots right;0.041827441;0.040080692;0.019124153;0.027865555;0.038527662;0.040265569;0.021613736;0.032315857;0.041919861;0.037591464;0.018260427;0.026736588;0.04151335;0.038519845;0.019787897;0.027208341;0.040797312;0.038426811;0.018189751;0.023640027;0.035424974;0.032286521;0.015257417;0.020107573;0.033422158;0.034521217;0.015568428;0.019520189;-5.42516;-2.53503;8.44295;7.28475
S18;Dots right;0.031868214;0.036614895;0.023278178;0.030648788;0.031405851;0.038452844;0.025600285;0.032604038;0.029649989;0.038602734;0.028471489;0.036651261;0.031949242;0.03618468;0.024921266;0.030819682;0.030508847;0.033891023;0.028957669;0.033077604;0.025388644;0.033720461;0.025467197;0.032199952;0.023415567;0.032300223;0.025992152;0.03090941;-3.74991;1.07548;3.35428;6.19466
S21;Dots right;0.049957344;0.043241614;0.013760524;0.016312481;0.050855309;0.043086715;0.015108269;0.017360035;0.050047099;0.041449445;0.014754523;0.017370882;0.053132083;0.046139223;0.015252155;0.016341616;0.044446894;0.039927588;0.013790246;0.015005417;0.039979778;0.035353911;0.012388492;0.013266163;0.03970974;0.034788482;0.012392613;0.013340786;-6.44769;-7.53085;12.458;9.25635
S22;Dots right;0.032894225;0.032072777;0.012714258;0.048403206;0.03233776;0.032271903;0.014181941;0.049428857;0.03295026;0.03139353;0.014087026;0.049489705;0.03061506;0.031812727;0.012139851;0.046373317;0.029587744;0.031365047;0.011004128;0.044636638;0.028303317;0.029647285;0.012523625;0.046426023;0.027093019;0.029509142;0.011564521;0.044334452;-6.76036;8.63674;4.05846;3.38998
