;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S21;Dots left;0.049368695;0.047151222;0.014798013;0.016352015;0.050444665;0.047744326;0.016108962;0.017654686;0.046876672;0.045582803;0.016191515;0.018810649;0.048734104;0.048221985;0.016090678;0.01547491;0.04039293;0.043189715;0.014309291;0.013940699;0.040150166;0.039432474;0.014196268;0.013882291;0.037582355;0.037028751;0.013069361;0.013127995;-6.39295;-5.72564;10.6418;9.55756
S22;Dots left;0.029672926;0.024526038;0.010509364;0.061541852;0.029505977;0.023988124;0.010968767;0.061273975;0.029905565;0.024185427;0.011171879;0.060912843;0.028233657;0.023382379;0.009647362;0.059554449;0.028894925;0.02262912;0.008650376;0.056856484;0.027261547;0.02192461;0.010747716;0.058648939;0.026908282;0.022128114;0.010048;0.05701841;-7.42458;14.6038;2.81459;-1.82104
S23;Dots left;0.032803379;0.033014508;0.027263489;0.037642091;0.030167789;0.033308081;0.025822207;0.03439695;0.028045112;0.031159679;0.025121091;0.032671152;0.031498122;0.034951997;0.032461114;0.04651806;0.026833413;0.034452361;0.03475818;0.045092128;0.030051606;0.029045013;0.022390583;0.023514572;0.032421903;0.032137724;0.028019511;0.030652675;-3.59978;3.62135;3.54437;3.21233
S24;Dots left;0.034943698;0.049007754;0.016398646;0.019088013;0.036519124;0.048934515;0.01844749;0.020400598;0.036905025;0.049490893;0.021639555;0.0228359;0.037775173;0.049936451;0.018397995;0.019830259;0.036123063;0.052112641;0.019857819;0.021507899;0.034416684;0.04741588;0.018142323;0.020032619;0.039272932;0.05531211;0.019637109;0.021972773;-5.59893;-3.42691;6.52388;12.6597
2S3;Dots left;0.02433624;0.038292795;0.021230043;0.033164325;0.027147385;0.033643038;0.023863722;0.033730134;0.032341028;0.037375175;0.026083048;0.036568941;0.020388602;0.030627824;0.018389748;0.029787393;0.013149099;0.02704379;0.017477025;0.025595068;0.036925451;0.04175738;0.035859197;0.0466868;0.02255635;0.032143342;0.032088467;0.039356345;-4.36155;3.14976;1.05444;4.20833
2S4;Dots left;0.044913327;0.035860412;0.01630669;0.016570798;0.061086721;0.04302645;0.021812662;0.020854205;0.072722657;0.050841692;0.022250769;0.022284544;0.038240275;0.026482346;0.013638317;0.013712315;0.023000093;0.018574226;0.010078753;0.012125744;0.068109932;0.039503103;0.018315083;0.019551835;0.042755121;0.030988237;0.014774143;0.017619119;-6.00932;-4.87458;12.7598;4.56726
2S5;Dots left;0.02845033;0.027175385;0.01895768;0.034967393;0.035093905;0.026833874;0.018950359;0.037171006;0.026573878;0.029968261;0.021403194;0.039793535;0.025809637;0.032568595;0.019743678;0.037486601;0.020275015;0.020943217;0.017690255;0.040346105;0.025670315;0.027695599;0.021032942;0.036019566;0.022651867;0.02665545;0.02026431;0.033515056;-5.39905;4.15327;1.76332;0.391102
2S6;Dots left;0.024005453;0.029265758;0.020723536;0.043629891;0.024552901;0.031119666;0.021481225;0.048719579;0.02156081;0.028644308;0.022151538;0.053241632;0.021130101;0.0296903;0.020138175;0.040366027;0.018168333;0.02749116;0.02343065;0.034150576;0.025764111;0.032857039;0.023277402;0.04603781;0.021665415;0.028751653;0.025778942;0.037869197;-4.85534;7.23704;-0.193651;1.64103
2S7;Dots left;0.019045392;0.020150089;0.017534346;0.031629527;0.035936978;0.034852903;0.025666281;0.044289352;0.045851288;0.039387305;0.02956614;0.052337561;0.045026373;0.038871591;0.023963922;0.034684665;0.021048811;0.019284044;0.011725913;0.023377287;0.028970263;0.026903144;0.018625097;0.032746064;0.029943586;0.024211767;0.015449935;0.023361026;-5.19805;3.18407;4.45362;1.35273
2S8;Dots left;0.027904344;0.029697206;0.026207989;0.027874514;0.030765429;0.032539491;0.027548163;0.029395681;0.031407478;0.03341687;0.030945519;0.032109224;0.024333426;0.02695566;0.02707455;0.027116427;0.02108234;0.025400752;0.027081227;0.031495202;0.034432531;0.036583129;0.030944511;0.027837639;0.029916634;0.031694618;0.031404066;0.025295196;-3.49412;0.324669;2.63046;2.23878
2S9;Dots left;0.022236485;0.035898805;0.027131825;0.039016433;0.020849489;0.027001189;0.022090751;0.039786226;0.02267809;0.026333982;0.0215515;0.042525735;0.014542454;0.012141607;0.009048773;0.018307497;0.014938242;0.01808896;0.015551466;0.025444231;0.033275315;0.057414965;0.048219459;0.068381487;0.030500065;0.053823707;0.047063222;0.06279293;-3.96597;6.34947;-0.282209;2.9093
2S10;Dots left;0.0127083;0.019122394;0.03383115;0.021988948;0.015364979;0.022333797;0.041289737;0.029449691;0.016116435;0.025160523;0.048676971;0.032262471;0.012733786;0.019805942;0.042806201;0.017996126;0.013920989;0.023060555;0.071279869;0.01756609;0.019983973;0.031454037;0.067113153;0.025623252;0.019984559;0.028922012;0.076007767;0.020566481;1.58247;-2.00378;-3.43996;-1.45034
2S11;Dots left;0.022655223;0.02014472;0.011246123;0.018561846;0.024016489;0.021246798;0.013408848;0.021390102;0.024743166;0.020822437;0.013711089;0.02503067;0.025177624;0.022502137;0.011690643;0.021922117;0.02392115;0.02067693;0.01139352;0.029350675;0.034517525;0.029414258;0.015080871;0.019612637;0.039052367;0.02845715;0.013590797;0.019534858;-6.89173;-2.78605;2.09324;-1.94975
2S12;Dots left;0.013241764;0.021513509;0.041256801;0.017952221;0.015624009;0.025317759;0.046958478;0.017736726;0.015248933;0.033184955;0.051189161;0.016178136;0.012952639;0.019192306;0.042517307;0.016307255;0.009793355;0.019249903;0.039025405;0.013173963;0.021801724;0.035222952;0.074863647;0.017387487;0.019342904;0.028509457;0.06343018;0.016436377;1.19029;-5.33693;-3.64167;-0.471631
2S13;Dots left;0.029518598;0.026015848;0.014253597;0.027315395;0.047281732;0.042633955;0.024329024;0.049389036;0.011893082;0.010808515;0.00626949;0.012925933;0.015088059;0.013491381;0.00758713;0.015111449;0.024063942;0.021254589;0.01166571;0.022486399;0.043772845;0.038276426;0.020727978;0.038821963;0.102019937;0.091194001;0.051184807;0.101916259;-5.6273;3.86138;6.70146;3.26867
